number,type_title,work_day_5,work_day_6,work_day_7,work_day_8,work_day_9,work_day_10,work_day_11,work_day_12,work_day_13,work_day_14,work_day_15,work_day_16,work_day_17,work_day_18,work_day_19,work_day_20,work_day_21,work_day_22,work_day_23,saturday_5,saturday_6,saturday_7,saturday_8,saturday_9,saturday_10,saturday_11,saturday_12,saturday_13,saturday_14,saturday_15,saturday_16,saturday_17,saturday_18,saturday_19,saturday_20,saturday_21,saturday_22,saturday_23,sunday_5,sunday_6,sunday_7,sunday_8,sunday_9,sunday_10,sunday_11,sunday_12,sunday_13,sunday_14,sunday_15,sunday_16,sunday_17,sunday_18,sunday_19,sunday_20,sunday_21,sunday_22,sunday_23,religion_sun_5,religion_sun_6,religion_sun_7,religion_sun_8,religion_sun_9,religion_sun_10,religion_sun_11,religion_sun_12,religion_sun_13,religion_sun_14,religion_sun_15,religion_sun_16,religion_sun_17,religion_sun_18,religion_sun_19,religion_sun_20,religion_sun_21,religion_sun_22,religion_sun_23,religion_sat_5,religion_sat_6,religion_sat_7,religion_sat_8,religion_sat_9,religion_sat_10,religion_sat_11,religion_sat_12,religion_sat_13,religion_sat_14,religion_sat_15,religion_sat_16,religion_sat_17,religion_sat_18,religion_sat_19,religion_sat_20,religion_sat_21,religion_sat_22,religion_sat_23,religion_wd_5,religion_wd_6,religion_wd_7,religion_wd_8,religion_wd_9,religion_wd_10,religion_wd_11,religion_wd_12,religion_wd_13,religion_wd_14,religion_wd_15,religion_wd_16,religion_wd_17,religion_wd_18,religion_wd_19,religion_wd_20,religion_wd_21,religion_wd_22,religion_wd_23,arena_wd_5,arena_wd_6,arena_wd_7,arena_wd_8,arena_wd_9,arena_wd_10,arena_wd_11,arena_wd_12,arena_wd_13,arena_wd_14,arena_wd_15,arena_wd_16,arena_wd_17,arena_wd_18,arena_wd_19,arena_wd_20,arena_wd_21,arena_wd_22,arena_wd_23,arena_sun_5,arena_sun_6,arena_sun_7,arena_sun_8,arena_sun_9,arena_sun_10,arena_sun_11,arena_sun_12,arena_sun_13,arena_sun_14,arena_sun_15,arena_sun_16,arena_sun_17,arena_sun_18,arena_sun_19,arena_sun_20,arena_sun_21,arena_sun_22,arena_sun_23,arena_sat_5,arena_sat_6,arena_sat_7,arena_sat_8,arena_sat_9,arena_sat_10,arena_sat_11,arena_sat_12,arena_sat_13,arena_sat_14,arena_sat_15,arena_sat_16,arena_sat_17,arena_sat_18,arena_sat_19,arena_sat_20,arena_sat_21,arena_sat_22,arena_sat_23,summer_wed_fri_5,summer_wed_fri_6,summer_wed_fri_7,summer_wed_fri_8,summer_wed_fri_9,summer_wed_fri_10,summer_wed_fri_11,summer_wed_fri_12,summer_wed_fri_13,summer_wed_fri_14,summer_wed_fri_15,summer_wed_fri_16,summer_wed_fri_17,summer_wed_fri_18,summer_wed_fri_19,summer_wed_fri_20,summer_wed_fri_21,summer_wed_fri_22,summer_wed_fri_23,summer_thu_tue_5,summer_thu_tue_6,summer_thu_tue_7,summer_thu_tue_8,summer_thu_tue_9,summer_thu_tue_10,summer_thu_tue_11,summer_thu_tue_12,summer_thu_tue_13,summer_thu_tue_14,summer_thu_tue_15,summer_thu_tue_16,summer_thu_tue_17,summer_thu_tue_18,summer_thu_tue_19,summer_thu_tue_20,summer_thu_tue_21,summer_thu_tue_22,summer_thu_tue_23,summer_sun_5,summer_sun_6,summer_sun_7,summer_sun_8,summer_sun_9,summer_sun_10,summer_sun_11,summer_sun_12,summer_sun_13,summer_sun_14,summer_sun_15,summer_sun_16,summer_sun_17,summer_sun_18,summer_sun_19,summer_sun_20,summer_sun_21,summer_sun_22,summer_sun_23,summer_sat_5,summer_sat_6,summer_sat_7,summer_sat_8,summer_sat_9,summer_sat_10,summer_sat_11,summer_sat_12,summer_sat_13,summer_sat_14,summer_sat_15,summer_sat_16,summer_sat_17,summer_sat_18,summer_sat_19,summer_sat_20,summer_sat_21,summer_sat_22,summer_sat_23
75,Автобусный,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,,,,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,,,,,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,47.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Автобусный,,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,,,,,,,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,,,,,,,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,80.93023255813954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Автобусный,,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,64.74418604651163,,,,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,,,,,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,38.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Автобусный,,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,71.38461538461539,,,,,,,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,,,,,,,,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Автобусный,,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,,,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,,,,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Автобусный,,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,,,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,,,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Автобусный,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Автобусный,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Автобусный,,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,,,,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,,,,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Автобусный,,,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,,,,,,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,,,,,,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,146.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
